Etunimi;Lukumäärä
Östman;1097
Hassan;1095
Lukkari;1094
Nisula;1093
Rosenberg;1093
Kesti;1088
Vilén;1085
Kekki;1084
Ahlgren;1083
Rautanen;1082
Paasonen;1081
Juhola;1080
Hulkkonen;1079
Forsberg;1076
Korkiakoski;1075
Ristimäki;1075
Knuutila;1070
Sjöholm;1070
Maijala;1065
Niinimäki;1063
Forss;1058
Tissari;1058
Vornanen;1055
Söderström;1050
Takkinen;1050
Kytölä;1045
Kontkanen;1044
Sorvari;1044
Lamminen;1041
Kolari;1040
Pollari;1040
Arvola;1039
Nilsson;1035
Ropponen;1035
Lundström;1034
Heikura;1032
Tuppurainen;1032
Tran;1030
Weckström;1030
Bäckman;1029
Myllykoski;1024
Hedman;1023
Aronen;1022
Mäkipää;1022
Hietamäki;1019
Ijäs;1016
Österberg;1015
Roininen;1014
Hirvelä;1013
Malm;1012
Hintsala;1011
Juutinen;1011
Saloranta;1010
Similä;1010
Vikström;1009
Metso;1008
Tiitinen;1002
Palm;1001
Markkula;1000
Uutela;999
Korpinen;998
Kela;997
Lempiäinen;996
Härmä;995
Koivukangas;993
Ylikoski;986
Kaasinen;984
Peltokangas;984
Ekström;983
Lång;982
Strömberg;982
Kapanen;981
Olli;981
Puurunen;980
Hildén;977
Rajaniemi;977
Kemppinen;976
Laitala;975
Porkka;975
Yrjölä;975
Niva;974
Nummi;973
Rahkola;972
Tuukkanen;972
Hujanen;971
Katajisto;971
Björkman;968
Rusanen;968
Järveläinen;967
Roivainen;967
Toikkanen;965
Kallinen;963
Salomäki;963
Höglund;960
Surakka;954
Pärssinen;953
Suorsa;948
Viljamaa;948
Haarala;947
Luukkanen;947
Pulliainen;946
Uimonen;945
Österlund;944
Enqvist;941
Kröger;940
Teittinen;940
Ilvonen;938
Koskelo;936
Asplund;935
Dahl;934
Kurkela;933
Rannikko;932
Törmä;932
Nordberg;931
Syrjä;931
Virkki;930
Björk;928
Ikävalko;928
Hietikko;927
Loponen;926
Käyhkö;925
Mönkkönen;924
Siira;924
Sirkiä;923
Kajander;922
Kaski;922
Könönen;922
Palokangas;922
Kuvaja;921
Rönkä;921
Purhonen;919
Suonpää;919
